,0
0,0.7590379520559708
1,0.7487805430072687
2,0.738418897170908
3,0.7279610891120162
4,0.7174151898639791
5,0.7067892617654515
6,0.696091353951518
7,0.6853294985296867
8,0.6745117074710208
9,0.6636459702464268
10,0.6527402522379008
11,0.6418024939544003
12,0.6308406110819164
13,0.6198624953972723
14,0.6088760165750874
15,0.5978890249172174
16,0.5869093550336937
17,0.5759448305036681
18,0.5650032695439939
19,0.5540924917116844
20,0.5432203256643817
21,0.5323946179999236
22,0.5216232431917739
23,0.5109141146311463
24,0.5002751967786494
25,0.4897145184176458
26,0.4792401869876452
27,0.46886040395812917
28,0.45858348118039555
29,0.4484178581262085
30,0.4383721198861381
31,0.4284550157561114
32,0.4186754781864618
33,0.4090426418021668
34,0.39956586212448225
35,0.39025473353144996
36,0.3811191058866535
37,0.37216909914155205
38,0.3634151150769697
39,0.35486784519539594
40,0.3465382736109212
41,0.33843767361360105
42,0.33057759641859846
43,0.32296985046017523
44,0.31562646947353185
45,0.30855966754548714
46,0.3017817793346518
47,0.29530518379366244
48,0.28914221000287077
49,0.2833050241781912
50,0.277805497571298
51,0.2726550558516164
52,0.267864511640742
53,0.2634438831283319
54,0.25940220306856415
55,0.2557473238369448
56,0.2524857254850981
57,0.2496223347107105
58,0.24716036320158583
59,0.2451011737780553
60,0.2434441820559665
61,0.24218679996467726
62,0.24132442544982674
63,0.24085048022589015
64,0.24075649474658078
65,0.2410322368994146
66,0.24166587857015612
67,0.24264419238690021
68,0.24395276979085245
69,0.2455762511482192
